Timestamp (seconds),Match Percentage,Detected Time
0.00,77.64%,2025-03-04 23:25:18
0.00,70.96%,2025-03-04 23:25:18
0.02,77.68%,2025-03-04 23:25:18
0.02,71.18%,2025-03-04 23:25:18
0.07,77.69%,2025-03-04 23:25:19
0.07,71.02%,2025-03-04 23:25:19
0.11,77.40%,2025-03-04 23:25:19
0.11,71.06%,2025-03-04 23:25:19
0.13,77.37%,2025-03-04 23:25:20
0.13,70.34%,2025-03-04 23:25:20
0.15,77.39%,2025-03-04 23:25:20
0.15,70.29%,2025-03-04 23:25:20
0.16,77.40%,2025-03-04 23:25:21
0.16,70.38%,2025-03-04 23:25:21
0.20,77.40%,2025-03-04 23:25:21
0.20,70.24%,2025-03-04 23:25:21
0.24,77.25%,2025-03-04 23:25:21
0.24,70.23%,2025-03-04 23:25:22
0.27,77.28%,2025-03-04 23:25:22
0.27,70.26%,2025-03-04 23:25:22
0.31,77.24%,2025-03-04 23:25:22
0.31,70.23%,2025-03-04 23:25:22
0.35,77.23%,2025-03-04 23:25:23
0.35,70.24%,2025-03-04 23:25:23
0.38,76.76%,2025-03-04 23:25:23
0.38,70.23%,2025-03-04 23:25:23
0.42,76.73%,2025-03-04 23:25:24
0.42,70.26%,2025-03-04 23:25:24
0.45,76.72%,2025-03-04 23:25:24
0.45,70.23%,2025-03-04 23:25:24
0.49,76.73%,2025-03-04 23:25:25
0.49,70.24%,2025-03-04 23:25:25
0.53,76.80%,2025-03-04 23:25:25
0.53,70.23%,2025-03-04 23:25:25
0.56,76.84%,2025-03-04 23:25:26
0.56,70.26%,2025-03-04 23:25:26
0.60,77.20%,2025-03-04 23:25:26
0.60,70.23%,2025-03-04 23:25:26
0.64,76.95%,2025-03-04 23:25:26
0.64,70.24%,2025-03-04 23:25:26
0.67,76.98%,2025-03-04 23:25:27
0.67,70.47%,2025-03-04 23:25:27
0.71,76.97%,2025-03-04 23:25:27
0.71,70.37%,2025-03-04 23:25:27
0.75,76.91%,2025-03-04 23:25:28
0.75,70.37%,2025-03-04 23:25:28
0.78,76.40%,2025-03-04 23:25:28
0.78,70.43%,2025-03-04 23:25:28
0.82,76.38%,2025-03-04 23:25:29
0.82,70.46%,2025-03-04 23:25:29
0.85,76.83%,2025-03-04 23:25:29
0.85,70.40%,2025-03-04 23:25:29
0.89,76.31%,2025-03-04 23:25:30
0.89,70.37%,2025-03-04 23:25:30
0.93,76.46%,2025-03-04 23:25:30
0.93,70.43%,2025-03-04 23:25:30
0.96,76.67%,2025-03-04 23:25:30
0.96,70.46%,2025-03-04 23:25:31
1.00,77.18%,2025-03-04 23:25:31
1.00,70.40%,2025-03-04 23:25:31
1.04,76.75%,2025-03-04 23:25:32
1.04,70.37%,2025-03-04 23:25:32
1.07,76.73%,2025-03-04 23:25:33
1.07,70.43%,2025-03-04 23:25:33
1.11,76.73%,2025-03-04 23:25:33
1.11,70.46%,2025-03-04 23:25:33
1.15,76.77%,2025-03-04 23:25:34
1.15,70.40%,2025-03-04 23:25:34
1.18,77.08%,2025-03-04 23:25:35
1.18,70.37%,2025-03-04 23:25:35
1.22,77.07%,2025-03-04 23:25:36
1.22,70.43%,2025-03-04 23:25:36
1.25,76.90%,2025-03-04 23:25:36
1.25,70.46%,2025-03-04 23:25:37
1.29,76.45%,2025-03-04 23:25:37
1.29,70.40%,2025-03-04 23:25:37
1.33,76.45%,2025-03-04 23:25:38
1.33,70.37%,2025-03-04 23:25:38
